stock_id,meanAnnualReturn,standardDeviation
331,0.14,5.57
331,-0.22,5.18
331,0.18,4.26
332,0.25,5.81
332,-0.17,4.45
332,0,0
333,0.52,15.17
333,0.5,14.74
333,0.61,12.03
334,-0.21,19.6
334,-0.28,19.34
334,0.05,15.74
335,0.95,19.04
335,0.94,17.85
335,1.03,14.99
336,0.94,18.98
336,0.94,17.85
336,1.03,14.96
337,0.27,13.48
337,0.59,11.46
337,0.47,10.36
338,0.93,18.92
338,0.93,17.82
338,1.03,14.92
339,0.94,18.97
339,0.94,17.85
339,1.03,14.96
340,0.91,23.95
340,1.59,21.26
340,0,0
341,1.33,38.35
341,3.91,33.57
341,0.77,29.86
342,0,0
342,0,0
342,0,0
343,0.9,19.05
343,1.06,18.09
343,0.99,15.03
344,1.37,22.52
344,0.96,22.48
344,1.48,18.17
345,0,0
345,0,0
345,0,0
346,0.65,20.19
346,1.3,18.3
346,0.89,15.76
347,0.94,22.91
347,0.81,23.19
347,0.86,18.4
348,0,0
348,0.9,20.39
348,0,0
349,-0.38,9.5
349,-0.91,10.96
349,-0.19,8.25
350,0.1,9.65
350,-0.48,9.93
350,0.21,7.48
351,0.28,11.37
351,-0.03,10.76
351,0,0
352,0,0
352,0,0
352,0,0
353,0.1,8.43
353,-0.4,8.66
353,0,0
354,1.18,40.52
354,3.94,33.38
354,0,0
355,0.37,18.3
355,0.19,16.05
355,0.79,16.06
356,0.77,24.1
356,1.6,24.38
356,0.17,24.79
357,0.69,21.4
357,0.98,18.77
357,0,0
358,0.11,8.16
358,-0.38,7.83
358,0.19,6.26
359,0,0
359,0,0
359,0,0
360,0,0
360,0,0
360,0,0
361,0.25,6.78
361,0.34,4.7
361,0,0
362,0.12,8.41
362,-0.38,8.28
362,0.19,6.38
363,1.04,33.83
363,-0.3,36.16
363,0.66,26.11
364,1.22,22.36
364,0.81,22.37
364,1.25,17.5
365,0,0
365,0.78,17.12
365,0,0
366,0.12,3.86
366,-0.2,3.74
366,0,0
367,0,0
367,-0.05,2.98
367,0,0
